Species	Mitochondrial genome accession	Gene count	ATP6	ATP8	COX1	COX2	COX3	CYTB	ND1	ND2	ND3	ND4	ND4L	ND5	ND6	rRNA-12S	rRNA-16S	tRNA-Ala	tRNA-Arg	tRNA-Asn	tRNA-Asp	tRNA-Cys	tRNA-Gln	tRNA-Glu	tRNA-Gly	tRNA-His	tRNA-Ile	tRNA-Leu	tRNA-Lys	tRNA-Met	tRNA-Phe	tRNA-Pro	tRNA-Ser	tRNA-Thr	tRNA-Trp	tRNA-Tyr	tRNA-Val
Leptestheria brevirostris	MN548772.1	35	QOQ37309.1	QOQ37308.1	QOQ37306.1	QOQ37307.1	QOQ37310.1	QOQ37315.1	QOQ37316.1	QOQ37305.1	QOQ37311.1	QOQ37312.1	QOQ37313.1	QOQ37317.1	QOQ37314.1	complement(14757..15512)	complement(13403..14669)	6613..6673	6674..6736	6748..6821	4514..4578	complement(2026..2087)	complement(825..893)	6887..6951	6197..6259	complement(8738..8802)	763..827	3692..3761;complement(13311..13374)	4446..4513	894..957	complement(6957..7023)	complement(10566..10629)	6822..6886;12264..12333	10501..10565	1960..2026	complement(2089..2155)	complement(14687..14757)
Limulus polyphemus	JX983598.1	34	AFY64344.1	AFY64345.1	-	AFY64346.1	AFY64343.1	AFY64350.1	AFY64349.1	AFY64348.1	AFY64342.1	AFY64353.1	AFY64352.1	AFY64341.1	AFY64351.1	7971..8769	8839..10136	complement(1773..1839)	complement(1707..1769)	complement(1641..1707)	complement(3855..3919)	6277..6340	7492..7557	complement(1511..1576)	complement(2184..2247)	14651..14719	complement(7556..7622)	10137..10205;10206..10271	complement(3920..3989)	complement(7423..7492)	1447..1512	12883..12949	complement(1576..1641);complement(11214..11286)	complement(12951..13016)	complement(6340..6407)	complement(6209..6275)	8770..8838
Lingula anatina	AB178773.1	35	BAD69577.1	BAD69575.1;BAD69576.1	BAD69570.1	BAD69571.1	BAD69583.1	BAD69574.1	BAD69579.1	BAD69572.1	BAD69580.1	BAD69582.1	BAD69573.1	BAD69581.1	BAD69578.1	10682..11952	20444..21908	4039..4104	1872..1939	21991..22060	1802..1868	28745..28813	4639..4706;7139..7206	21909..21976	22677..22743	22761..22826	20302..20372	1731..1798;4458..4524	6899..6968	4560..4631;6112..6183;7060..7131;9727..9798	26277..26341	11953..12021	10413..10464;14465..14543	10613..10681	26356..26425	20377..20443	6212..6278;9827..9893
Lingula reevei	OR906209.1	33	WQG15352.1	-	WQG15345.1	WQG15350.1	WQG15346.1	WQG15349.1	WQG15351.1	WQG15348.1	WQG15355.1	WQG15347.1	WQG15353.1	WQG15356.1	WQG15354.1	1813..3076	6018..7451	13473..13538	18089..18155	8536..8602	10745..10810	12793..12857;16128..16193	1747..1812	14929..15000	18869..18934	5860..5926	-	14688..14754;14850..14916	18797..18863	10673..10738;13228..13293	5781..5844	14777..14845;15754..15821	3077..3147;11814..11881;16799..16869	20605..20674	5950..6017;13315..13383	7452..7519	13394..13460
Longidorus vineacola	KU746818.1	34	AOT84231.1	-	AOT84229.1	AOT84232.1	AOT84233.1	AOT84238.1	AOT84235.1	AOT84234.1	AOT84240.1	AOT84230.1	AOT84239.1	AOT84237.1	AOT84236.1	complement(7715..8260)	complement(5888..6613)	complement(4264..4316)	complement(4323..4374)	3205..3260	7634..7714	complement(13459..13505)	complement(8355..8405)	13358..13411	9283..9334	complement(3392..3443)	complement(7578..7628)	complement(5827..5887);complement(6677..6734)	complement(11387..11454)	complement(6614..6675)	4087..4139	complement(8261..8313)	2791..2838;13408..13460	5774..5826	complement(1539..1592)	complement(12616..12665)	complement(9336..9387)
Lophophysema eversa	KM035411.1	34	AIE43806.1	-	AIE43803.1	AIE43804.1	AIE43807.1	AIE43811.1	AIE43810.1	AIE43808.1	AIE43814.1	AIE43812.1	AIE43805.1	AIE43809.1	AIE43813.1	1853..2907;1953..2907	4042..5668	17704..17773	14094..14162	12715..12783	2907..2971	11137..11201	1881..1951	16509..16574	3241..3309	15575..15644	12541..12609	6065..6136;18306..18377	12323..12395	3169..3240	11066..11136	14028..14093	5642..5710;13936..14007	2976..3042	16417..16486	12646..12714	5740..5809;16234..16300
Lumbriculus variegatus	OM062609.1	35	UZT67752.1	UZT67750.1	UZT67748.1	UZT67749.1	UZT67751.1	UZT67740.1	UZT67745.1	UZT67747.1	UZT67746.1	UZT67744.1	UZT67743.1	UZT67742.1	UZT67741.1	6775..7503	7569..8759	8829..8888	1583..1646	13116..13176	13864..13926	6643..6707	1987..2050	4808..4868	14086..14146	1647..1714	10029..10091	8760..8826;8970..9032	10092..10155	6712..6774	4729..4790	4870..4932	8889..8954;10530..10585	4933..5001	14943..15007	2194..2257;2857..2928	7504..7568
Macracanthorhynchus hirudinaceus	FR856886.2	34	CCA94493.2	-	CCA94491.2	CCA94499.2	CCA94500.2	CCA94495.2	CCA94494.2	CCA94502.2	CCA94501.2	CCA94497.2	CCA94496.2	CCA94498.2	CCA94492.2	10969..11601	1717..2658	13150..13202	13202..13262	13259..13314	3147..3199	12329..12382	1589..1650	4820..4874	1535..1588	6523..6577	10419..10478	2659..2716;8217..8275	4768..4818	10910..10968	11602..11655	8276..8330	4930..4986;13310..13376	4875..4929	4184..4246	1651..1716	4705..4767
Macrauchenia sp. MW-2017	KY611394.1	28	ARA69017.1	-	-	-	ARA69019.1	-	ARA69014.1	ARA69012.1	ARA69018.1	ARA69021.1	ARA69020.1	ARA69022.1	-	236..589	1277..2857	complement(5221..5290)	10022..10090	complement(5292..5364)	-	complement(5399..5465)	complement(3959..4031)	-	9605..9674	11759..11827	3893..3961	2859..2933;11887..11963	7910..7978	4033..4101	168..235	complement(15574..15639)	complement(7079..7147);11828..11886	15504..15573	5144..5212	5466..5531	1212..1276
Macrostomum lignano	MF078637.1	26	-	-	-	-	-	-	-	ARW59245.1	-	-	ARW59246.1	ARW59248.1	ARW59243.1	11450..12188	2969..3835	7273..7334	11449..11508	13760..13819	11391..11448	13941..13999	2721..2775	3906..3965	7335..7395	2661..2720	9072..9133	13881..13940	8069..8121	7213..7272	8122..8183	2897..2959	3963..4015;9390..9443	2838..2896	2776..2837	13819..13880	3846..3905
Metapenaeus ensis	MK500697.1	34	QID77068.1	QID77067.1	-	QID77066.1	QID77069.1	QID77075.1	QID77076.1	QID77064.1	QID77070.1	QID77072.1	QID77073.1	QID77071.1	QID77074.1	complement(14092..14955)	complement(12657..13984)	5923..5987	5988..6052	6053..6119	3811..3882	complement(1310..1375)	complement(75..143)	6187..6255	5504..5570	complement(8072..8138)	1..67	2978..3042;complement(12589..12656)	3735..3803	165..232	complement(6273..6338)	complement(9841..9907)	6120..6186;11559..11628	9775..9840	1233..1301	complement(1378..1443)	complement(14021..14092)
Metaperipatus inae	EF624055.1	35	ABQ95560.1	ABQ95559.1	ABQ95564.1	ABQ95558.1	ABQ95565.1	ABQ95570.1	ABQ95562.1	ABQ95563.1	ABQ95566.1	ABQ95561.1	ABQ95567.1	ABQ95568.1	ABQ95569.1	complement(14540..15125)	complement(9625..10913)	9242..9307	complement(4600..4670)	4537..4613	5111..5171	5038..5098	5186..5248	10987..11044	10799..10866	10865..10932	4070..4143	complement(4003..4073);complement(9558..9620)	12791..12858	5350..5426	10922..10976	complement(3012..3095)	complement(8047..8106);14478..14554	7995..8055	15263..15328	10712..10776	1563..1624
Mnemiopsis leidyi	JF760210.1	13	-	-	AEE60334.1	AEE60337.1	AEE60335.1	AEE60343.1	AEE60342.1	AEE60339.1	AEE60336.1	AEE60338.1	AEE60340.1	AEE60341.1	AEE60344.1	3153..3520	3521..4398	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Moniliformis sp.	OP413683.1	34	WNX93932.1	-	WNX93931.1	WNX93939.1	WNX93940.1	WNX93937.1	WNX93938.1	WNX93941.1	WNX93933.1	WNX93935.1	WNX93934.1	WNX93936.1	WNX93930.1	10837..11472	1713..2672	13019..13073	13072..13132	13131..13178	3162..3215	12195..12249	1595..1658	4813..4867	1535..1594	6512..6565	10350..10410	2673..2731;8206..8265	4762..4816	10778..10836	11473..11527	8266..8318	4924..4980;13179..13243	4867..4940	4204..4264	1659..1712	4701..4759
Mordacia mordax	NC_069307.1	35	YP_010587539.1	YP_010587538.1	YP_010587536.1	YP_010587537.1	YP_010587540.1	YP_010587533.1	YP_010587534.1	YP_010587535.1	YP_010587541.1	YP_010587543.1	YP_010587542.1	YP_010587544.1	YP_010587545.1	1796..2696	2768..4377	complement(6757..6826)	11619..11682	complement(6828..6895)	8728..8796	complement(6896..6960)	complement(5495..5565)	complement(16855..16925)	11190..11258	13349..13417	5427..5495	4378..4451;13487..13557	9493..9558	5567..5636	1729..1795	complement(1653..1723)	complement(8583..8653);13418..13485	16749..16821	6688..6754	complement(6964..7035)	2697..2767
Myxine fernholmi	MK950150.1	35	UKB88180.1	UKB88179.1	UKB88177.1	UKB88178.1	UKB88181.1	UKB88187.1	UKB88175.1	UKB88176.1	UKB88182.1	UKB88184.1	UKB88183.1	UKB88185.1	UKB88186.1	201..924	998..2550	complement(4915..4978)	9690..9755	complement(4981..5046)	6805..6870	complement(5047..5112)	complement(3652..3722)	13915..13980	9252..9318	11413..11476	3583..3650	2551..2624;11539..11609	7555..7619	3727..3795	1..67	complement(15228..15293)	complement(6731..6801);11477..11537	15159..15224	4851..4915	complement(5117..5182)	929..997
Nanomia bijuga	OQ957196.1	16	WJJ70222.1	-	WJJ70232.1	WJJ70221.1	WJJ70223.1	WJJ70231.1	WJJ70229.1	WJJ70224.1	WJJ70227.1	WJJ70230.1	WJJ70228.1	WJJ70225.1	WJJ70226.1	7309..8178	complement(72..1611)	-	-	-	-	-	-	-	-	-	-	-	-	3998..4068	-	-	-	-	8172..8241	-	-
Nesomachilis australica	AY793551.1	35	AAV50267.1	AAV50266.1	AAV50264.1	AAV50265.1	AAV50268.1	AAV50274.1	AAV50275.1	AAV50263.1	AAV50269.1	AAV50271.1	AAV50272.1	AAV50270.1	AAV50273.1	complement(14057..14891)	complement(12671..13984)	5937..5997	5999..6061	6062..6193	3826..3891	complement(1330..1397)	complement(64..132)	6194..6257	5516..5579	complement(8074..8143)	1..66	2998..3064;complement(12610..12670)	3756..3826	138..205	complement(6269..6335)	complement(9856..9921)	11576..11645	9791..9855	1261..1326	complement(1399..1464)	complement(13985..14056)
Nierstraszella lineata	MN864055.1	35	QIZ12571.1	QIZ12572.1	QIZ12573.1	QIZ12574.1	QIZ12575.1	QIZ12576.1	QIZ12577.1	QIZ12578.1	QIZ12579.1	QIZ12580.1	QIZ12581.1	QIZ12582.1	QIZ12583.1	complement(11829..12659)	complement(10489..11765)	14071..14135	14136..14196	14193..14257	2232..2296	complement(12725..12787)	complement(12916..12986)	complement(13054..13120)	complement(12988..13051)	complement(5898..5958)	14259..14323	complement(10357..10423);complement(10424..10488)	14010..14072	complement(12660..12724)	3161..3225	9381..9445	complement(7677..7744);14680..14747	7616..7676	complement(12855..12917)	complement(12787..12851)	complement(11766..11828)
Octolasmis warwickii	OM009262.1	35	UWM12951.1	UWM12950.1	UWM12948.1	UWM12949.1	UWM12952.1	UWM12945.1	UWM12946.1	UWM12947.1	UWM12953.1	UWM12955.1	UWM12956.1	UWM12954.1	UWM12944.1	complement(4337..5081)	complement(2981..4273)	11279..11332	11152..11216	11216..11278	8260..8324	complement(1935..1996)	complement(13400..13464)	11333..11399	10737..10799	complement(13272..13336)	complement(1805..1869)	complement(2913..2980);8196..8263	complement(13338..13399)	5523..5587	complement(11470..11532)	complement(15092..15153)	1718..1787;11401..11456	3..66	6582..6646	complement(1870..1927)	complement(4274..4336)
Oikopleura dioica	OZ035851.1	11	CAL1671441.1	-	CAL1671438.1	CAL1671442.1	CAL1671436.1	CAL1671440.1	CAL1671437.1	-	-	CAL1671435.1	-	CAL1671443.1	-	complement(join(13064..13225,13243..13295))	complement(join(13..26,52..69,94..303))	-	-	-	-	-	-	-	-	-	-	-	-	join(4671..4692,4717..4763)	-	-	-	-	-	-	-
Oncicola luehei	JN710452.1	33	AER42896.1	-	AER42893.1	AER42902.1	AER42903.1	AER42900.1	AER42901.1	AER42904.1	AER42897.1	-	AER42898.1	AER42899.1	AER42894.1	11047..11599	1713..2662	13149..13203	13198..13255	13322..13377	3151..3203	12326..12379	1589..1650	4814..4874	1535..1588	6520..6574	10419..10478	2663..2719;8217..8276	4391..4451	10908..10966	11600..11652	8277..8330	3219..3274;10508..10576	4949..5001	4195..4255	1658..1712	4704..4762
Ophiocoma scolopendrina	ON101248.1	35	WYA87154.1	WYA87153.1	WYA87150.1	WYA87152.1	WYA87155.1	WYA87160.1	WYA87149.1	WYA87148.1	WYA87156.1	WYA87157.1	WYA87151.1	WYA87158.1	WYA87159.1	complement(14250..15156)	complement(12703..14083)	complement(12505..12569)	4244..4311	complement(2211..2282)	complement(16454..16518)	2352..2415	2281..2351	complement(12574..12640)	complement(12641..12705)	8814..8884	complement(1060..1128)	complement(2136..2208);complement(14110..14179)	5313..5384	complement(12352..12420)	complement(15159..15230)	complement(14183..14249)	complement(7028..7099);8886..8954	complement(15241..15307)	2582..2648	complement(2504..2571)	complement(2419..2488)
Ophioleila elegans	OQ207673.2	35	WED07067.1	WED07066.1	WED07063.1	WED07065.1	WED07068.1	WED07073.1	WED07075.1	WED07074.1	WED07069.1	WED07070.1	WED07064.1	WED07071.1	WED07072.1	complement(11438..12336)	complement(9838..11232)	complement(9619..9688)	1604..1668	complement(15926..15997)	complement(13660..13728)	16068..16138	15996..16066	complement(9695..9762)	complement(9765..9837)	6193..6264	complement(14785..14856)	complement(11288..11359);complement(15848..15920)	2665..2737	complement(9542..9614)	complement(12341..12416)	complement(11367..11433)	complement(4386..4457);6266..6333	complement(12448..12514)	16310..16376	complement(16224..16294)	complement(16152..16221)
Orchidasma orchilobata	PV558786.1	34	XRQ88127.1	-	XRQ88131.1	XRQ88132.1	XRQ88123.1	XRQ88124.1	XRQ88129.1	XRQ88128.1	XRQ88130.1	XRQ88126.1	XRQ88125.1	XRQ88134.1	XRQ88133.1	9521..10242	8469..9490	5055..5118	11573..11637	6098..6165	5124..5185	9457..9520	3390..3450	13217..13279	14411..14480	679..749	6233..6298	11382..11441;11510..11571	6314..6383	3523..3591	3465..3533	6166..6225	6747..6803;11438..11508	8418..8486	6806..6869	11314..11375	4976..5037
Oroperipatus sp. DVL-2011	JF800076.1	32	AEK48376.1	AEK48375.1	AEK48373.1	AEK48374.1	AEK48377.1	AEK48379.1	-	AEK48385.1	AEK48378.1	-	AEK48383.1	AEK48381.1	AEK48382.1	complement(9949..10624)	10526..11631	8505..8552	4227..4263	8553..8585	2211..2254	-	complement(13450..13499)	9006..9052	complement(13307..13358)	6491..6530	8586..8645	complement(6382..6424);complement(9920..9965)	8401..8448	complement(13410..13453)	8248..8285	11632..11672	complement(4269..4321);complement(8284..8332)	complement(6462..6494)	complement(13359..13409)	8315..8357	complement(6425..6461)
Oscarella sp. violet	JX963639.1	35	AFX73460.1	AFX73461.1	AFX73463.1	AFX73464.1	AFX73459.1	AFX73453.1	AFX73462.1	AFX73451.1	AFX73455.1	AFX73457.1	AFX73454.1	AFX73452.1	AFX73456.1	complement(12696..13974)	1..2514	complement(8889..8962)	complement(9321..9391);complement(15041..15113)	3356..3427	complement(17510..17579)	complement(17417..17488)	3280..3350	complement(10436..10507)	3871..3941	complement(10509..10582)	3518..3590;3608..3680	3784..3858;7519..7591	complement(17342..17414)	3962..4032;complement(8816..8887)	complement(14030..14102)	complement(12102..12174)	complement(12182..12267);complement(17619..17703)	complement(12623..12695);complement(16223..16295)	3437..3507	3683..3765	complement(16101..16172);20193..20264
Ozobranchus jantseanus	OR551454.1	35	WOA02268.1	WOA02264.1	WOA02262.1	WOA02263.1	WOA02265.1	WOA02267.1	WOA02259.1	WOA02261.1	WOA02260.1	WOA02258.1	WOA02257.1	WOA02256.1	WOA02266.1	3838..4579	4650..5823	5932..5994	14504..14566	10159..10223	10900..10976	3682..3747	12055..12123	1859..1922	11208..11273	1..64	7072..7134	5826..5889;6067..6134	7137..7198	3770..3837	1767..1832	1919..1984	5995..6061;7575..7639	1992..2061	13738..13799	11134..11206	4580..4649
Pallisentis celatus	JQ943583.1	34	AFK50134.1	-	AFK50132.1	AFK50141.1	AFK50142.1	AFK50139.1	AFK50140.1	AFK50143.1	AFK50135.1	AFK50137.1	AFK50136.1	AFK50138.1	AFK50133.1	11282..12740	1712..2634	12721..12777	12808..12865	12865..12919	3064..3112	11941..12009	1589..1650	4874..4926	1535..1587	6518..6568	10238..10287	2635..2690;8158..8207	4732..4783	10603..10659	11274..11328	8208..8260	3110..3172;10681..10739	4926..4981	4112..4171	1651..1711	4249..4310
Parasacculina yatsui	OQ129535.1	35	WGU20847.1	WGU20846.1	WGU20841.1	WGU20845.1	WGU20848.1	WGU20853.1	WGU20850.1	WGU20849.1	WGU20851.1	WGU20843.1	WGU20842.1	WGU20844.1	WGU20852.1	14295..15040	7909..9082	12905..12954	12166..12229	12098..12159	5719..5774	11741..11805	7614..7679	12775..12835	11807..11862	11599..11662	7845..7907	1542..1602;11865..11927	7684..7747	7502..7567	4916..4983	12840..12899	4984..5037;11931..11984	11669..11730	12032..12095	11529..11590	12712..12773
Passer montanus saturatus	MZ736659.1	35	UVV34727.1	UVV34726.1	UVV34724.1	UVV34725.1	UVV34728.1	UVV34733.1	UVV34722.1	UVV34723.1	UVV34729.1	UVV34731.1	UVV34730.1	UVV34732.1	UVV34734.1	69..1049	1120..2718	complement(5133..5201)	9936..10005	complement(5212..5284)	7043..7111	complement(5285..5351)	complement(3883..3953)	complement(15542..15613)	9515..9583	11675..11744	3800..3870	2719..2793;11810..11880	7808..7877	3953..4021	1..68	complement(14943..15012)	complement(6965..7037);11746..11809	14863..14931	5062..5131	complement(5351..5421)	1050..1119
Pauropus longiramus	HQ457012.1	34	ADT63081.1	ADT63080.1	-	ADT63079.1	ADT63082.1	ADT63088.1	ADT63089.1	ADT63090.1	ADT63083.1	ADT63085.1	ADT63086.1	ADT63084.1	ADT63087.1	complement(11900..12591)	complement(10785..11821)	4324..4394	4382..4446	4444..4511	2271..2334	complement(join(1..3,14424..14478))	complement(13321..13390)	4545..4611	3941..4003	complement(6307..6369)	13264..13327	complement(10668..10737);complement(10722..10784)	2208..2272	13357..13433	complement(4593..4666)	complement(7971..8033)	4475..4548;9679..9738	8006..8075	14386..14445	complement(13202..13264)	complement(11822..11899)
Pectinatella magnifica	OR460713.1	35	XNJ74147.1	XNJ74136.1	XNJ74135.1	XNJ74144.1	XNJ74146.1	XNJ74140.1	XNJ74138.1	XNJ74145.1	XNJ74137.1	XNJ74142.1	XNJ74141.1	XNJ74143.1	XNJ74139.1	complement(12914..13722)	complement(11324..12664)	16679..16743	complement(12665..12728)	16747..16813	complement(13726..13786)	complement(13855..13918)	complement(13986..14047)	complement(12850..12913)	2146..2209	8509..8570	1726..1788	4239..4296;complement(13795..13854)	16610..16676	3201..3263	10294..10357	complement(4298..4364)	5986..6049	complement(6050..6112)	complement(12786..12849)	complement(13921..13985)	complement(12729..12785)
Peripatoides sympatrica	JF800075.1	34	AEK48364.1	AEK48363.1	-	AEK48362.1	AEK48365.1	AEK48371.1	AEK48372.1	AEK48360.1	AEK48366.1	AEK48368.1	AEK48369.1	AEK48367.1	AEK48370.1	complement(13253..13944)	complement(12091..13206)	5562..5621	5624..5662	5663..5719	3493..3536	complement(1127..1178)	14004..14055	5776..5826	5161..5209	complement(7582..7631)	13945..14002	complement(11985..12041);complement(12042..12090)	3444..3492	26..76	complement(5823..5883)	complement(9308..9350)	5723..5772;10993..11055	9251..9295	1092..1142	complement(1179..1234)	complement(13207..13252)
Phascolosoma similis	MN813482.1	35	QKS32589.1	QKS32581.1	QKS32579.1	QKS32580.1	QKS32582.1	QKS32584.1	QKS32588.1	QKS32591.1	QKS32585.1	QKS32587.1	QKS32586.1	QKS32590.1	QKS32583.1	5822..6641	6629..7901	15190..15251	11910..11973	2422..2488	1568..1631	14884..14944	2873..2939	2554..2615	2613..2675	11974..12035	7930..7992	2358..2419;10178..10241	7994..8056	14952..15014;15019..15082	8421..8485	5423..5486	13754..13821;14548..14610	8486..8546	11154..11215	2490..2554	13829..13889
Phrynocephalus grumgrzimailoi	KM093859.1	35	AIU56768.1	AIU56767.1	AIU56765.1	AIU56766.1	AIU56769.1	AIU56775.1	AIU56763.1	AIU56764.1	AIU56770.1	AIU56772.1	AIU56771.1	AIU56773.1	AIU56774.1	568..1439	1503..2981	complement(5338..5406)	10079..10145	complement(5407..5478)	7240..7307	complement(5501..5560)	complement(4021..4093)	complement(14231..14300)	9674..9738	11796..11859	4102..4169	2985..3058;11919..11989	7993..8055	4170..4232	1..66	complement(16158..16228)	complement(7167..7236);11860..11918	15446..15509	5268..5337	complement(5561..5627)	1437..1502
Plakortis simplex	HQ269362.1	20	ADO51524.1	ADO51523.1	ADO51520.1	ADO51522.1	ADO51525.1	ADO51521.1	ADO51515.1	ADO51518.1	ADO51514.1	ADO51512.1	ADO51517.1	ADO51519.1	ADO51513.1	17208..18481	60..2532	-	-	-	-	-	12893..12964	-	-	-	7495..7566	-	-	7703..7773	-	2589..2661	-	-	13024..13094	-	-
Plectus acuminatus	KX017523.1	34	AOW68745.1	-	AOW68740.1	AOW68747.1	AOW68748.1	AOW68751.1	AOW68746.1	AOW68744.1	AOW68749.1	AOW68743.1	AOW68742.1	AOW68750.1	AOW68741.1	6779..7485	8407..9330	7486..7541	11363..11418	9481..9539	7556..7612	4543..4596	1544..1597	14533..14590	8352..8406	5414..5470	6394..6456	3519..3575;11305..11360	9417..9477	14591..14643	13348..13405	4600..4653	7613..7666;14654..14707	6723..6778	6656..6716	5471..5531	4656..4719
Pleistacantha cervicornis	PQ300097.1	35	XRO55030.1	XRO55029.1	XRO55027.1	XRO55028.1	XRO55031.1	XRO55037.1	XRO55038.1	XRO55039.1	XRO55032.1	XRO55034.1	XRO55035.1	XRO55033.1	XRO55036.1	11362..12163	12416..13475	4492..4556	4594..4656	4657..4723	2367..2431	complement(15749..15814)	11129..11195	4791..4853	4053..4118	complement(4856..4917)	10279..10339	1535..1600;13501..13568	2297..2363	14614..14680	complement(4918..4981)	14539..14604	4724..4790;10117..10178	8393..8459	15681..15749	complement(15815..15879)	10202..10274
Pleurobrachia globosa	PP135466.1	12	-	-	WYV96115.1	WYV96123.1	WYV96116.1	WYV96120.1	WYV96122.1	WYV96117.1	WYV96118.1	WYV96119.1	-	WYV96121.1	-	3312..3883	2234..3250	-	-	-	-	-	-	-	-	-	-	-	-	4580..4661	-	-	-	-	-	-	-
Polyacanthorhynchus caballeroi	KT592358.1	34	AMK47828.1	-	AMK47826.1	AMK47835.1	AMK47836.1	AMK47833.1	AMK47834.1	AMK47837.1	AMK47829.1	AMK47831.1	AMK47830.1	AMK47832.1	AMK47827.1	10754..11364	1702..2622	12845..12899	12903..12963	12949..13006	3112..3162	12033..12086	1608..1657	4819..4869	1564..1619	6457..6509	10226..10292	2623..2675;8132..8188	4766..4819	10694..10753	11365..11416	8187..8244	4909..4963;13003..13060	4963..5014	4175..4236	1651..1701	4725..4776
Polypterus palmas polli	HM143936.1	35	ADG95288.1	ADG95287.1	ADG95285.1	ADG95286.1	ADG95289.1	ADG95295.1	ADG95283.1	ADG95284.1	ADG95290.1	ADG95292.1	ADG95291.1	ADG95293.1	ADG95294.1	72..1020	1092..2748	complement(5103..5171)	9921..9990	complement(5173..5245)	7043..7111	complement(5282..5348)	complement(3852..3922)	complement(14206..14274)	9505..9574	11656..11724	3783..3853	2749..2823;11793..11864	7806..7878	3922..3991	1..71	complement(15489..15557)	complement(6969..7039);11725..11790	15419..15488	5028..5097	complement(5349..5419)	1021..1091
Polypterus retropinnis	HM143937.1	35	ADG95301.1	ADG95300.1	ADG95298.1	ADG95299.1	ADG95302.1	ADG95308.1	ADG95296.1	ADG95297.1	ADG95303.1	ADG95305.1	ADG95304.1	ADG95306.1	ADG95307.1	72..1023	1095..2751	complement(5106..5174)	9924..9993	complement(5176..5248)	7046..7114	complement(5285..5352)	complement(3855..3925)	complement(14212..14280)	9508..9577	11662..11730	3786..3856	2752..2826;11799..11870	7809..7881	3925..3994	1..71	complement(15495..15564)	complement(6973..7043);11731..11796	15425..15494	5031..5099	complement(5353..5423)	1024..1094
Priapulus caudatus	DQ463747.1	35	ABE03644.1	ABE03643.1	ABE03641.1	ABE03642.1	ABE03645.1	ABE03635.1	ABE03634.1	ABE03640.1	ABE03646.1	ABE03638.1	ABE03637.1	ABE03639.1	ABE03636.1	27..822	887..2246	14630..14693	14694..14758	14761..14828	12538..12599	complement(10114..10175)	complement(8889..8952)	complement(8696..8759)	14212..14266	6833..6897	8826..8891	2247..2312;2312..2379	12473..12537	8953..9021	8630..8697	5032..5097	complement(3339..3408);complement(8760..8824)	complement(5097..5160)	10049..10114	complement(10177..10243)	823..886
Proisotoma minuta	MW874475.1	35	UBI43113.1	UBI43112.1	UBI43110.1	UBI43111.1	UBI43114.1	UBI43120.1	UBI43121.1	UBI43109.1	UBI43115.1	UBI43117.1	UBI43118.1	UBI43116.1	UBI43119.1	complement(14989..15688)	complement(13724..14965)	6046..6106	7110..7171	7170..7232	3951..4012	complement(1472..1531)	complement(267..333)	7301..7363	5644..5704	complement(9128..9189)	201..263	3135..3196;complement(13659..13723)	3882..3951	334..402	complement(7362..7424)	complement(10904..10966)	7233..7299;12577..12647	10839..10903	1406..1472	complement(1532..1593)	complement(14932..14992)
Pseudoacanthocephalus sp. s CZ-2024	PP476191.1	34	XHO49441.1	-	XHO49439.1	XHO49448.1	XHO49449.1	XHO49446.1	XHO49447.1	XHO49450.1	XHO49442.1	XHO49444.1	XHO49443.1	XHO49445.1	XHO49440.1	12734..13301	1689..2600	14734..14790	14788..14839	14831..14883	3131..3183	13972..14024	1585..1635	6559..6610	1538..1589	8184..8233	11972..12029	2601..2670;9866..9916	6505..6559	12680..12733	13302..13352	9914..9974	6661..6710;14872..14926	6610..6671	4119..4178	1637..1688	6461..6515
Pseudobiotus spinifer	KF938944.1	33	AHZ34689.1	AHZ34690.1	-	AHZ34691.1	AHZ34688.1	AHZ34683.1	AHZ34682.1	AHZ34693.1	AHZ34687.1	AHZ34685.1	AHZ34684.1	AHZ34686.1	-	complement(1144..1860)	complement(1..1091)	7434..7497	7498..7558	7566..7626	5370..5430	complement(2878..3030)	complement(1861..1925)	7683..7746	7029..7090	complement(9423..9493)	complement(13800..13860)	complement(13741..13800);13854..13913	5296..5353	1922..1983	complement(7746..7807)	complement(11151..11211)	7625..7682;complement(12775..12827)	11091..11151	2920..2982	complement(3027..3087)	complement(1092..1143)
Pseudocorticium jarrei	HQ269357.1	35	ADO51449.1	ADO51450.1	ADO51452.1	ADO51453.1	ADO51448.1	ADO51442.1	ADO51451.1	ADO51440.1	ADO51444.1	ADO51446.1	ADO51443.1	ADO51441.1	ADO51445.1	complement(12815..14096)	8..2509	complement(9010..9083);complement(16435..16493)	complement(9442..9512);complement(15189..15261)	3405..3476	complement(17734..17803)	complement(17646..17717)	3328..3399	complement(10559..10630)	3962..4032	complement(10632..10704)	3577..3649;3668..3740	3854..3928;7640..7711	complement(17558..17630)	4053..4123;complement(8937..9008)	complement(14163..14235)	complement(12233..12305)	complement(12313..12398);complement(17826..17910)	complement(12742..12814)	3486..3556	3747..3829	complement(16249..16320);20401..20472
